run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=closest, ms=None, bl=None",13865.78162559481,7934.134194108262,144.45829160909597,733,0,1091.1235625481988,0.3236731159543838,82,208.72981466363663,79,0.0
,"cr=closest, ms=allow_rellocation, bl=None",29161.43665681364,98339.55701353723,106.66882307984486,781,0,0,2.260140891887288,18,153.0292875299479,85,0.0
,"cr=closest, ms=batching, bl=0.01",13538.903724236712,5648.951862118355,137.87903724236705,733,0,769.5857816086252,2.7691243883123104,1,43.60764461876386,90,0.0
,"cr=closest, ms=batching, bl=0.05",13366.922954195421,5567.4614770977105,130.35564530612632,730,0,382.8985812716402,2.746097064241275,3,35.26442094748638,93,0.0
,"cr=closest, ms=batching, bl=0.1",14082.03209987223,5869.516049936114,130.38514030186874,768,0,672.205081220912,2.990652370478679,8,37.62110206463391,67,7.396883516065927
,"cr=closest, ms=batching, bl=0.2",14048.670553584427,5875.335276792214,151.45415880265875,753,0,774.4181731075814,2.7676987173761827,85,38.54210896516266,71,16.731176571454654
,"cr=shortest, ms=None, bl=None",11551.007925429618,9321.862791259491,112.63529496718279,666,0,1097.9201748456453,0.1124265182671726,81,32.04125688926922,83,0.0
,"cr=longest, ms=None, bl=None",13631.482624952616,8840.698436306486,118.63342937691321,718,0,1171.5790839023869,0.8270192968359504,98,39.8027289824922,91,11.144042127646733
,"cr=closest, ms=None, bl=None",13897.17709845122,7512.112677422893,129.11202669756906,756,0,752.2029554499381,0.927916870922984,2,42.92943227678202,95,0.0
,"cr=closest, ms=allow_rellocation, bl=None",23362.78901994767,87951.17930820934,57.72553158305797,712,0,0,3.2520809523066783,14,137.9909033200957,88,0.0
,"cr=closest, ms=batching, bl=0.01",14150.063113539742,5918.531556769871,154.3613905022115,759,0,532.6065244425954,2.3134588713977777,83,78.96995960293172,81,12.92144900563902
,"cr=closest, ms=batching, bl=0.05",13905.788287963174,5809.894143981586,135.57244105496662,750,0,856.265646847607,2.63493747923976,93,54.69554981345314,94,0.0
,"cr=closest, ms=batching, bl=0.1",14523.915968677837,6057.457984338918,135.84106501846995,789,0,533.5602028587042,2.8098903960887758,93,46.02098486194446,48,0.0
,"cr=closest, ms=batching, bl=0.2",13338.16564555362,5583.082822776809,115.29763283960622,709,0,626.7863233164373,2.9728917629027682,105,38.95334167117772,96,0.0
,"cr=shortest, ms=None, bl=None",13574.647259486454,8529.487469555852,119.88636126843731,724,0,855.8424630995847,1.0376942520583115,78,31.055678789602528,97,6.2129275215060416
,"cr=longest, ms=None, bl=None",13066.150631862278,10235.772910565378,119.7716961929261,652,0,1518.1582056194866,0.09516427895199052,92,79.90625928921501,91,0.0
,"cr=closest, ms=None, bl=None",13999.848525082569,6965.577975183149,110.58537657935044,780,0,568.7649020714191,1.77011019572996,111,45.691191595467245,103,0.0
,"cr=closest, ms=allow_rellocation, bl=None",26115.41368139889,102112.57854191195,59.30102055225527,802,0,0,3.0151117776763416,84,136.11090510212242,91,0.0
